Country,News Agency,Total Articles Downloaded,Total Historical Data
Australia,ABC,25,"Mon, 19 May 2025 04:39:54 +0000"
China,Xinhua,20,2017-03-30
Germany,DW,143,N/A
India,The Hindu,100,"Mon, 19 May 2025 18:30:26 +0530"
Italy,ANSA,28,"Mon, 19 May 2025 08:56:58 +0200"
Japan,NHK,7,"Mon, 19 May 2025 17:56:49 +0900"
Malaysia,Malay Mail,50,"Mon, 19 May 2025 13:48:17 +0800"
Middle East,Al Jazeera,25,"Mon, 19 May 2025 11:17:00 +0000"
Russia,RT,100,"Fri, 16 May 2025 01:00:25 +0000"
Singapore,CNA,20,"Mon, 19 May 2025 19:26:49 +0800"
South Korea,KBS,30,"Mon, 19 May 2025 08:31:07 +0900"
Spain,El Pais,140,"Fri, 16 May 2025 03:23:00 GMT"
UK,BBC,36,"Mon, 19 May 2025 01:45:02 GMT"
USA,CNN,50,
